2025-07-16 17:47:22 | COTI | KuCoin | 0.057800 | Binance | 0.057860 | 0.10%
2025-07-16 17:47:24 | ALGO | MEXC | 0.286200 | OKX | 0.286500 | 0.10%
2025-07-16 17:47:24 | COTI | KuCoin | 0.057800 | Binance | 0.057870 | 0.12%
2025-07-16 17:47:26 | COTI | KuCoin | 0.057800 | Binance | 0.057880 | 0.14%
2025-07-16 17:47:26 | COTI | KuCoin | 0.057800 | MEXC | 0.057870 | 0.12%
2025-07-16 17:47:28 | COTI | KuCoin | 0.057800 | Binance | 0.057880 | 0.14%
2025-07-16 17:47:28 | COTI | KuCoin | 0.057800 | MEXC | 0.057880 | 0.14%
2025-07-16 17:47:30 | ALGO | MEXC | 0.286400 | OKX | 0.286700 | 0.10%
2025-07-16 17:47:30 | COTI | KuCoin | 0.057800 | Binance | 0.057880 | 0.14%
2025-07-16 17:47:30 | COTI | KuCoin | 0.057800 | MEXC | 0.057880 | 0.14%
2025-07-16 17:47:32 | COTI | KuCoin | 0.057800 | Binance | 0.057880 | 0.14%
2025-07-16 17:47:32 | COTI | KuCoin | 0.057800 | MEXC | 0.057880 | 0.14%
2025-07-16 17:47:33 | COTI | KuCoin | 0.057800 | Binance | 0.057880 | 0.14%
2025-07-16 17:47:33 | COTI | KuCoin | 0.057800 | MEXC | 0.057880 | 0.14%
2025-07-16 17:47:35 | ALGO | MEXC | 0.286700 | Binance | 0.287100 | 0.14%
2025-07-16 17:47:35 | ALGO | MEXC | 0.286700 | KuCoin | 0.287000 | 0.10%
2025-07-16 17:47:35 | IOTA | KuCoin | 0.224900 | Binance | 0.225200 | 0.13%
2025-07-16 17:47:35 | IOTA | KuCoin | 0.224900 | MEXC | 0.225200 | 0.13%
2025-07-16 17:47:35 | COTI | KuCoin | 0.057800 | Binance | 0.057880 | 0.14%
2025-07-16 17:47:35 | COTI | KuCoin | 0.057800 | MEXC | 0.057880 | 0.14%
2025-07-16 17:47:37 | ALGO | MEXC | 0.286700 | Binance | 0.287000 | 0.10%
2025-07-16 17:47:37 | ALGO | MEXC | 0.286700 | OKX | 0.287000 | 0.10%
2025-07-16 17:47:37 | IOTA | KuCoin | 0.224900 | MEXC | 0.225200 | 0.13%
2025-07-16 17:47:37 | COTI | KuCoin | 0.057800 | Binance | 0.057890 | 0.16%
2025-07-16 17:47:37 | COTI | KuCoin | 0.057800 | MEXC | 0.057880 | 0.14%
2025-07-16 17:47:38 | COTI | KuCoin | 0.057800 | Binance | 0.057890 | 0.16%
2025-07-16 17:47:38 | COTI | KuCoin | 0.057800 | MEXC | 0.057890 | 0.16%
2025-07-16 17:47:40 | IOTA | KuCoin | 0.224800 | MEXC | 0.225100 | 0.13%
2025-07-16 17:47:40 | COTI | KuCoin | 0.057800 | Binance | 0.057910 | 0.19%
2025-07-16 17:47:40 | COTI | KuCoin | 0.057800 | MEXC | 0.057890 | 0.16%
2025-07-16 17:47:41 | COTI | KuCoin | 0.057800 | Binance | 0.057910 | 0.19%
